RATING,DIRECTOR,MOVIE
8.5, Bela Tarr,Werckmeister Harmoniak/ Werckmeister Harmonies
8.2, Sion Sono,Love Exposure
8.0, Majid Majidi,Rang-e Khoda/ Color Of Paradise
8.0, Christopher Nolan,Memento
8.0, Zhang Yimou,Ying Xiong/ Hero
8.0, Chan-wook Park,Sympathy for Mr Vengeance
8.0, Michael Haneke,Cache`/ Hidden
8.0, Kim Ki-duk,Shigan/ Time
7.9, Kevin Smith,Dogma
7.9, Chan-wook Park,Oldeuboi/ Oldboy
7.9, Pedro Almodovar,Mala Education/ Bad Education
7.8, Hirokazu Kore-eda,Afterlife (1998)
7.8, Spike Jonze,Being John Malkovich
7.8,  Chang-dong Lee,Bakha Satang/ Peppermint Candy (1999)
7.8, Gyorgy Palfi,Hukkle
7.8, Alejandro Gonzales Inarritu,21 Grams
7.8, Michel Gondry,Eternal Sunshine of the Spotless Mind
7.8, Majid Majidi,Beed-e Majnoon/ The Willow Tree
7.8, Johnnie To,Fong Juk/ Exiled
7.8, Gaspar Noe,Soudain Le Vide/ Enter the Void
7.8, Sergei Loznitsa,Schastye Moe/ My Joy
7.8, Alejandro Jodorowsky,The Dance of Reality
7.8, Pedro Costa,Horse Money
7.8, Alice Rohrwacher,Lazzaro Felice/ Happy as Lazzaro
7.8, Ilya Khrzhanovsky,Degeneratsia/ Degeneration
7.7, Shohei Imamura,Dr Akagi (1998)
7.7, Pedro Almodovar,Todo Sobre Mi Madre/ All About My Mother
7.7, Christian Petzold,Die Innere Sicherheit/ The State I Am In (Germany)
7.7, David Lynch,Mulholland Drive
7.7, Satoshi Kon,Sennen Joyu/ Millennium Actress
7.7, Fatih Akin,Gegen die Wand/ Head On
7.7, Theo Angelopoulos,The Weeping Meadow
7.7, Carlos Reygadas,Post Tenebras Lux
7.7, Miguel Gomes,Arabian Nights
7.7, Hu Bo,An Elephant Sitting Still
7.6, Arturo Ripstein,La Perdicion de los Hombres/ The Ruination of Men
7.6, Edward Yang,Yi Yi/ A One And a Two
7.6, Sion Sono,Jisatsu Sakuru/ Suicide Club
7.6, Pedro Costa,Colossal Youth
7.6, Johnnie To,Mad Detective
7.6, Leos Carax,Holy Motors
7.6, Aleksei German,Trudno byt' Bogom/ Hard to Be a God (2013)
7.6, Ama Lily Amirpour,Dokhtari dar sab Tanha be Xane Miravad/ A Girl Walks Home Alone at Night
7.6, Joachim Trier,Thelma
7.6, Anders Thomas Jensen,Retfaerdighedens Ryttere/ Riders of Justice
7.5, Emir Kusturica,Black Cat White Cat (1998)
7.5, Theo Angelopoulos,Eternity And A Day (1998)
7.5, Christopher Nolan,Following
7.5, Takeshi Miike,Deddo oa Araibu/ Dead or Alive
7.5, Alejandro Gonzales Inarritu,Amores Perros
7.5, Juan Carlos Fresnadillo,Intacto
7.5, Tsai Ming-Liang,What Time Is It There?
7.5, Nuri Bilge Ceylan,Uzak/ Distant
7.5, Kim Ki-duk,Bom yeoreum gaeul gyeoul geurigo bom/ Spring Summer Fall Winter and Spring
7.5, Raoul Ruiz,Ce Jour-La'/ That Day
7.5, Matthew Ryan Hoge,The United States of Leland
7.5, Sion Sono,Noriko no Shokutaku/ Noriko's Dinner Table
7.5, Jia Zhang-Ke,Sanxia Haoren/ Still Life
7.5, Satoshi Kon,Paprika
7.5, Christian Petzold,Yella
7.5, Joon-ho Bong,Mother
7.5, Chang-dong Lee,Poetry
7.5, Terrence Malick,The Tree of Life
7.5, Bela Tarr,The Turin Horse
7.5, Christian Petzold,Barbara
7.5, Paolo Sorrentino,La Grande Bellezza/ The Great Beauty
7.5, Eskil Vogt,Blind
7.5, Nuri Bilge Ceylan,Winter Sleep
7.5, Jafar Panahi,Taxi
7.5, Maren Ade,Toni Erdmann
7.5, Arnaud Desplechin,Les Fantomes d'Ismael/ Ismael's Ghosts
7.5, Michael Haneke,Happy End
7.5, Zhangke Jia,Jiang hu er nv/ Ash is Purest White
7.5, Bi Gan,Long Day's Journey Into Night
7.5, Ryusuke Hamaguchi,Drive my Car
7.4, Guy Ritchie,Lock Stock And Two Smoking Barrels  (1998)
7.4,  Tsai Ming-Liang,Dong/ The Hole (1998)
7.4, Sam Mendes,American Beauty
7.4, Kiyoshi Kurosawa,Charisma (1999)
7.4, Mike Figgis,Time Code
7.4, Zhangke Jia,Zhantai/ Platform
7.4, Fatih Akin,In July
7.4, Wong Kar-wai,In the Mood For Love
7.4, Wen Jiang,Guizi Laile/ Devils on the Doorstep (2000)
7.4, Lav Diaz,Batang West Side (2001)
7.4, Jean-Pierre Jeunet,Amelie
7.4, Aki Kaurismaki,The Man Without a Past
7.4, Pedro Almodovar,Talk To Her
7.4, Fernando Meirelles,City of God
7.4, Ken Loach,Sweet Sixteen
7.4, Henrik Ruben Genz,En som Hodder/ Someone Like Hodder
7.4, Takashi Miike,Gozu  (2003)
7.4, Christian Petzold,Wolfsburg
7.4, Kim Ki-duk,Binjip/ 3-Iron
7.4, Cristi Puiu,Moartea Domnului Lazarescu/ The Death of Mr Lazarescu
7.4, Florian Henckel von Donnersmarck,Das Leben der Anderen/ The Lives of Others
7.4, Mahamat-Saleh Haroun,Daratt/ Dry Season
7.4, Richard Kelly,Southland Tales
7.4, Carlos Reygadas,Luz Silenciosa/ Silent Light
7.4, Chang-dong Lee,Secret Sunshine
7.4, Nacho Vigalondo,Timecrimes
7.4, Lucrecia Martel,La Mujer Sin Cabeza/ Headless Woman
7.4, Asghar Farhadi,Darbareye Elly/ About Elly
7.4, Quentin Tarantino,Inglorious Basterds
7.4, Apichatpong Weerasethakul,Uncle Boonmee Who Can Recall His Past Lives
7.4, Asghar Farhadi,Separation
7.4, Nuri Bilge Ceylan,Once Upon a Time in Anatolia
7.4, Lars Von Trier,Melancholia
7.4, Johnnie To,Drug War
7.4, Thomas Vinterberg,Jagten/ The Hunt (2012)
7.4, Lav Diaz,Norte Hangganan ng Kasaysayan/ Norte the End of History
7.4, Bruno Dumont,Li'l Quinquin
7.4, Ramin Bahrani,99 Homes
7.4, Myroslav Slaboshpytskiy,Plemya/ The Tribe
7.4, Christian Petzold,Phoenix
7.4,  Deniz Gamze Erguven,Mustang
7.4, Yorgos Lanthimos,The Lobster
7.4, Laszlo Nemes,Saul Fia/ Son of Saul
7.4, Bi Gan,Lu Bian Ye Can/ Kaili Blues
7.4, Sang-ho Yeon,Train to Busan
7.4, Lav Diaz,Ang Babaeng Humayo/ The Woman Who Left
7.4, Andrei Konchalovsky,Paradise
7.4, Jordan Peele,Get Out
7.4,  Craig Zahler,Brawl in Cell Block 99
7.4, Edgar Wright,Baby Driver
7.4, Chang-dong Lee,Beoning/ Burning
7.4, Patrick Wang,A Bread Factory
7.4, Yorgos Lanthimos,The Favourite
7.4, John Maringouin,Ghostbox Cowboy
7.4, Joon-ho Bong,Gisaengchung/ Parasite
7.4, Ilya Khrzhanovsky,DAU Natasha
7.4, Joachim Trier,The Worst Person in the World
7.4, Gaspar Noe,Vortex
7.3, Walter Salles,Central Station (1998)
7.3, Takeshi Miike,The Bird People in China (1998)
7.3, Peter Weir,Truman Show  (1998)
7.3, Veit Helmer,Tuvalu
7.3, Lynne Ramsay,Ratcatcher
7.3, Johnnie To,An Zhan/ Hidden War/ Running Out of Time
7.3, Claire Denis,Beau Travail  (1999)
7.3, Neil Labute,Nurse Betty
7.3, Wisit Sasanatieng,Fah Talai Jone/ Tears of the Black Tiger
7.3, Tsui Hark,Time and Tide
7.3, Hong Sang-soo,Oh Soojung/ Virgin Stripped Bare by Her Bachelors
7.3, Jan Hrebejk,Divided We Fall
7.3, Raul Ruiz,Comedie de l'innocence/ Comedy of Innocence
7.3, Jacques Audiard,Sur mes Levres/ Read My Lips  (2001)
7.3, Hayao Miyazaki,Sen to Chihiro no Kamikakushi/ Spirited Away
7.3, Alexander Sokurov,Russian Ark
7.3, Gaspar Noe,Irreversible
7.3, Lars Von Trier,Dogville
7.3, Claire Denis,The Intruder
7.3, Wong Kar-wai,2046
7.3, Zhangke Jia,The World
7.3, Lav Diaz,Ebolusyon ng Isang Pamilyang Pilipino/ Evolution of a Filipino Family
7.3, Jacques Audiard,De Battre Mon Cour S'Est Arrete'/ The Beat That My Heart Skipped
7.3, Shane Black,Kiss Kiss Bang Bang
7.3, Kim Ki-duk, The Bow
7.3, Daniel Sanchez Arevalo,Azul Oscuro Casi Negro (2006)
7.3, Joon-Ho Bong,Gwoemul/ The Host
7.3,  Paul Verhoeven,Zwartboek/ Black Book
7.3, Paolo Sorrentino,L'Amico di Famiglia
7.3, Chan-wook Park,Ssaibogeujiman Gwaenchana/ I'm a Cyborg but that's OK
7.3, Christopher Nolan,The Prestige
7.3, Aditya Assarat,Wonderful Town
7.3, Charlie Kaufman,Synecdoche New York
7.3, Ari Folman,Waltz with Bashir
7.3, Nuri Bilge Ceylan,Uc Maymum/ Three Monkeys
7.3, Tatia Rosenthal,$9.99
7.3, Corneliu Porumboiu,Police Adjective
7.3, Michael Haneke,Das Weisse Band/ The White Ribbon
7.3, Claire Denis,White Material
7.3, Raul Ruiz,Misterios de Lisboa/ Mysteries of Lisbon
7.3, Gerardo Naranjo,Miss Bala
7.3, Miguel Gomes,Tabu
7.3, Shane Carruth,Upstream Color
7.3, Jane Campion,Top of the Lake
7.3, Ramon Zuercher,Das merkwuerdige Kaetzchen/ The Strange Little Cat (2013)
7.3, Roy Andersson,A Pigeon Sat On a Branch Reflecting On Existence
7.3, Andrei Zvyagintsev,Leviathan
7.3, Lav Diaz,Mula sa Kung Ano ang Noon/ From What Is Before
7.3, Radu Jude,Aferim
7.3, Jim Jarmusch,Paterson
7.3, Hirokazu Kore-eda,After the Storm
7.3, Blake Williams,Prototype
7.3, Joon-ho Bong,Okja
7.3, Christian Petzold,Transit
7.3, Pawel Pawlikowski,Zimna Wojna/ Cold War
7.3, Jacques Audiard,The Sisters Brothers
7.3, Alfonso Cuaron,Roma
7.3, Matteo Garrone,Dogman
7.3, Nadine Labaki,Capernaum
7.3, Lila Aviles, La Camarista/ The Chambermaid
7.3, Mariano Llinas,La Flor
7.3, Nuri Bilge Ceylan,Ahlat Agaci/ The Wild Pear Tree (2018)
7.3, Celine Sciamma,Portrait de la Jeune Fille en Feu/ Portrait of a Lady on Fire
7.3, Mati Diop,Atlantique
7.3, Kirill Mikhanovsky,Give Me Liberty
7.3, Kantemir Balagov,Dilda/ Beanpole
7.3, Benny & Josh Safdie,Uncut Gems
7.3, Chloe Zhao,Nomadland
7.3, Lee Isaac Chung,Minari
7.3, Andreas Fontana,Azor
7.3, Jane Campion,The Power of the Dog
7.3, Gonzalo Calzada,Nocturna
7.2, Hsiao-Hsien Hou,Haishang Hua/ Flowers of Shangai
7.2, Joel Coen,Big Lebowski  (1998)
7.2, Manoel DeOliveira,Inquietude/ Anxiety (1998)
7.2, Goran Paskaljevic,Cabaret Balkan
7.2, Bruno Dumont,La Vie de Jesus / The Life of Jesus (1997)
7.2, Tony Scott,Enemy of the State (1998)
7.2, Thomas Vinterberg,Festen/ The Celebration (1998)
7.2, David Fincher,Fight Club
7.2, Lee Myung-Se,Nowhere To Hide
7.2, Abbas Kiarostami,The Wind Will Carry Us
7.2, Yimou Zhang,Not One Less
7.2, Harmony Korine,Julien Donkey Boy
7.2, Steven Soderbergh,The Limey
7.2, Darren Aronofsky,Requiem For A Dream
7.2, Kenneth Lonergan,You Can Count On Me
7.2, Francois Ozon,Gouttes d'Eau Sur Pierres Brulantes/ Water Drops On Burning Rocks
7.2, Jafar Panahi,Dayereh/The Circle
7.2, Takashi Miike,Ichi the Killer
7.2, Cristi Puiu,Marfa si Banii/ Stuff and Dough
7.2, Mamoru Oshii,Avaron/ Avalon (2001)
7.2, Apichatpong Weerasethakul,Sud Sanaeha/ Blissfully Yours
7.2, Mahamet-Saleh Haroun,Abouna
7.2, Jonas Akerlund,Spun
7.2, Lee Simyung,2009 Lost Memories
7.2, Abderrahmane Sissako,Waiting for Happiness
7.2, Steven Spielberg,Minority Report
7.2, Lynne Ramsay,Morvern Callar
7.2, Gus Van Sant,Gerry
7.2, Marco-Tullio Giordana,La Meglio Gioventu'/ The Best of Youth
7.2, Andrei Zvyagintsev,Vozvrashcheniye/ The Return
7.2, Mark and Michael Polish,Northfork
7.2, Robert Lepage,Far Side of the Moon
7.2, Nimrod Antal,Kontroll
7.2, Ferzan Ozpetek,La Finestra di Fronte/ Facing Windows
7.2, Tsai Ming-Liang,Goodbye Dragon Inn
7.2, Shane Carruth,Primer
7.2, Hiroyuki Imaishi,Dead Leaves
7.2, Arnaud Desplechin,Rois et Reine/ Kings and Queen
7.2, Alex De La Iglesia,El Crimen Ferpecto
7.2, Eugenio Polgovsky,Tropic of Cancer
7.2, Lucrecia Martel,La Nina Santa/ The Holy Girl
7.2, Don Roos,Happy Endings
7.2, Philippe Garrel,Les Amants Reguliers/ Regular Lovers
7.2, Guy Ritchie,Revolver
7.2, John Singleton,Four Brothers
7.2, Ira Sachs,Forty Shades of Blue
7.2, Vimukthi Jayasundara,Sulanga Enu Pinisa/ The Forsaken Land
7.2, Andrew Bujalski,Mutual Appreciation
7.2, Christian Petzold,Gespenster/ Ghosts
7.2, Ramin Bahrani,Man Push Cart
7.2, Gyorgy Palfi,Taxidermia
7.2, Guillermo Del Toro,Pan's Labyrinth
7.2, Emanuele Crialese,Nuovomondo/ Golden Door
7.2, Pedro Almodovar,Volver
7.2, Garin Nugroho,Opera Jawa
7.2, Michel Gondry,The Science of Sleep
7.2, Ming-Liang Tsai,Hei Yan Quan/ I Don't Want to Sleep Alone
7.2, Corneliu Porumboiu,A Fost Sau N-a Fost?/ Was There or Wasn't There?/ 12:08 East of Bucharest
7.2, Paul Thomas Anderson,There Will Be Blood
7.2, Michelange Quay,"Eat, for This Is My Body"
7.2, Gus Van Sant,Paranoid Park
7.2, Sergey Dvortsevoy,Tulpan
7.2, Mariano Llinas,Extraordinary Stories
7.2, Albert Serra,El Cant dels Ocells/ Birdsong
7.2, Mike Leigh,Happy-Go-Lucky
7.2, Lisandro Alonso,Liverpool
7.2, Arnaud Desplechin,Un Conte de Noel/ A Christmas Tale
7.2, Kiyoshi Kurosawa,Tokyo Sonata (2008)
7.2, Jacques Audiard,Un Prophete/ A Prophet
7.2, Sophie Barthes,Cold Souls
7.2, Vimukthi Jayasundara,Between Two Worlds
7.2, Giorgos Lanthimos,Kynodontas/ Dogtooth
7.2, Pietro Marcello,The Mouth of the Wolf
7.2, Agusti Vila,La Mosquitera/ The Mosquito Net
7.2, Michelangelo Frammartino,Le Quattro Volte
7.2, Edgar Wright,Scott Pilgrim vs the World
7.2, Alex de la Iglesia,Last Circus
7.2, Manoel de Oliveira,The Strange Case of Angelica
7.2, Christopher Nolan,Inception
7.2, Everardo Gout,Days of Grace
7.2, Miranda July,The Future
7.2, Pedro Almodovar,The Skin I Live In
7.2, Matteo Garrone,Reality
7.2, Anurag Kashyap,Gangs of Wasseypur
7.2, Cristian Mungiu,Beyond the Hills
7.2, Jem Cohen,Museum Hours
7.2, Raul Ruiz,Night Across the Street
7.2, Noah Baumbach,Frances Ha
7.2, Denis Villeneuve,Enemy
7.2, Denis Villeneuve,Prisoners
7.2, Hirokazu Kore-eda,Soshite Chichi ni Naru/ Like Father Like Son
7.2, Jafar Panahi,Closed Curtain
7.2, Isao Takahata,Kaguya-hime no Monogatari/ The Tale Of Princess Kaguya
7.2, Lisandro Alonso,Jauja
7.2, Kornel Mundruczo,White God
7.2, Alice Rohrwacher,Le Meraviglie/ The Wonders
7.2, Sang-soo Hong,Jigeumeun Matgo Geuddaeneun Teullida/ Right Now Wrong Then
7.2, Ciro Guerra,Embrace of the Serpent
7.2, Ryusuke Hamaguchi,Happi Awa/ Happy Hour
7.2, Christian Vincent,L'Hermine/ Courted (2015)
7.2, Corneliu Porumboiu,Comoara/ The Treasure
7.2, Pablo Trapero,El Clan
7.2, Michel Franco,Chronic
7.2, Cristi Puiu,Sieranevada
7.2, Tom Ford,Nocturnal Animals
7.2, Kenneth Lonergan,Manchester by the Sea
7.2, Alejandro Jodorowsky,Poesia sin Fin/ Endless Poetry
7.2, Anocha Suwichakornpong,By the Time It Gets Dark
7.2, Paolo Genovese,Perfetti sconosciuti/ Perfect Strangers
7.2, Olivier Assayas,Personal Shopper
7.2, Paul Verhoeven,Elle
7.2, Chloe Zhao,The Rider
7.2, Lukas Feigelfeld,Hagazussa - A Heathen's Curse
7.2, Lucrecia Martel,Zama
7.2, Andrei Zvyagintsev,Nelyubov/ Loveless
7.2, Agnieszka Holland,Spoor
7.2, Greg Zglinski,Animals
7.2, Kantemir Balagov,Tesnota/ Closeness
7.2, Joel Potrykus,Relaxer
7.2, Rick Alverson,The Mountain
7.2, David Robert Mitchell,Under the Silver Lake
7.2, Alonso Ruizpalacios,Museum/ Museo
7.2, Sheng Qiu,Suburban Birds
7.2, Ali Abbasi,Border
7.2, Shannon Murphy,Babyteeth
7.2, Saeed Roustaee,Just 6.5
7.2, Mark Jenkin,Bait
7.2, Quentin Dupieux,Deerskin
7.2, Valentyn Vasyanovych,Atlantis
7.2, Amjad Abu Alala,You Will Die at Twenty
7.2, Pedro Costa,Vitalina Varela
7.2, Corneliu Porumboiu,La Gomera/ Whistlers
7.2, Jordan Peele,Us
7.2, Robert Eggers,Lighthouse
7.2, Joanna Hogg,The Souvenir
7.2, Nadav Lapid,Synonyms
7.2, Theo Court,White on White
7.2, Rose Glass,Saint Maud
7.2, Alexis Gambis,Son of Monarchs
7.2, Mohammad Rasoulof,There Is No Evil
7.2, Ming-liang Tsai,Days
7.2, Kornel Mundruczo,Pieces of a Woman
7.2, Lav Diaz,Lahi Hayop/ Genus Pan
7.2, Lili Horvat,Preparations to Be Together for an Unknown Period of Time
7.2, Filip Jan Rymsza,Mosquito State
7.2, Fernanda Veladez,Sin Senas Particulares Identifying Features
7.2, Janicza Bravo,Zola
7.2, Alexandre Koberidze,What Do We See When We Look at the Sky?
7.2, Laura Wandel,Un Monde/ Playground
7.2, Apichatpong Weerasethakul,Memoria
7.2, Fran Kranz,Mass
7.2, Sian Heder,Coda
7.2, Celine Sciamma,Petite Maman
7.2, Adam McKay,Don't Look Up
7.2, Mahamat-Saleh Haroun,Lingui
7.2, Panah Panahi,Jaddeh Khaki/ Hit the Road
7.1,  Tom Tykwer,Lola Rennt/ Run Lola Run
7.1, Steven Spielberg,Saving Private Ryan (1998)
7.1,  Darren Aronofsky,Pi (1998)
7.1, Alex Proyas,Dark City  (1998)
7.1, Lukas Moodysson,Fucking Amal/ Show Me Love (1998)
7.1, Penelope Spheeris,Senseless  (1998)
7.1, Eric Mendelsohn,Judy Berlin
7.1, Pen-ek Ratanaruang,6ixtynin9
7.1, Luc & Jean-Pierre Dardenne,Rosetta
7.1, Takeshi Kitano,Kikujiro
7.1, Johnnie To,The Mission
7.1, Roy Andersson,Songs From the Second Floor
7.1, Bahman Farman-Ara,Smell of Camphor Perfume of Jasmin
7.1, Tran Anh Hung,The Vertical Ray of the Sun
7.1, Manoel De Oliveira,Palavra e Utopia
7.1, Tom Tykwer,Der Krieger und die Kaiserin
7.1, Buddhadeb Dasgupta,Uttara
7.1, Miguel Arteta,Chuck And Buck
7.1, Joel Coen,O Brother Where Art Thou
7.1, Francois Ozon,Under the Sand
7.1, Laurent Cantet,L'Emploi du Temps/ Time Out
7.1, Jessica Hausner,Lovely Rita (2001)
7.1, Terry Zwigoff,Ghost World
7.1, Guillermo del Toro,The Devil's Backbone
7.1, Mike Figgis,Hotel
7.1, Wes Anderson,The Royal Tenenbaums
7.1, Christian Petzold,Toter Mann / Something To Remind Me
7.1, Todd Haynes,Far From Heaven
7.1, Chang-dong Lee,Oasis
7.1, Andrei Konchalovsky,House of Fools
7.1, Niki Caro,Whale Rider
7.1, Peter Sollett,Raising Victor Vargas
7.1, Kei Kumai,The Sea Is Watching
7.1, John Sayles,Sunshine State
7.1, Spike Jonze,Adaptation
7.1, Joon-Ho Bong,Sarinui Chueok/ Memories of Murder
7.1, Jafar Panahi,Talaye Sorkh/ Crimson Gold
7.1, Bruno Dumont,Twentynine Palms
7.1, Gus Van Sant,Elephant
7.1, Wolfgang Becker,Good Bye Lenin
7.1, Benoit Jacquot,A Toute de Suite
7.1, Francois Favrat,Le Role de sa Vie/ The Role of Her Life
7.1, Mike Leigh,Vera Drake
7.1, Agnes Jaoui,Look At Me: Comme Un Image
7.1, Teong Hin Saw,The Princess of Mount Ledang
7.1, Alexander Payne,Sideways
7.1, Paolo Sorrentino,Le Conseguenze dell'Amore/ The Consequences Of Love
7.1, Apichatpong Weerasethakul,Tropical Malady
7.1, Gregg Araki,Mysterious Skin
7.1, Liang Ying,Taking Father Home
7.1, Rian Johnson,Brick
7.1, Apichatpong Weerasethakul,Worldly Desires
7.1, Gela Babluani,13 Tzameti
7.1, Emmanuel Carrere,La Moustache
7.1, Sion Sono,Kimyo no Circus/ Strange Circus
7.1, David Cronenberg,A History of Violence
7.1, Noah Baumbach,The Squid and the Whale (2005)
7.1, Aki Kaurismaki,Laitakaupungin Valot/ Lights in the Dusk
7.1, Radu Muntean,Hartia va fi Albastra/ The Paper Will Be Blue
7.1, Jens Lien,The Bothersome Man
7.1, Paz Encina,Paraguayan Hammock
7.1, Guy Maddin,Brand Upon the Brain
7.1, Sarah Polley,Away From Her
7.1, Apichatpong Weerasethakul,Sang Sattawat/ Syndromes and a Century
7.1, Joachim Trier,Reprise
7.1, Kelly Reichardt,Old Joy
7.1,  Lisandro Alonso,Fantasma
7.1, Nuri Bilge Ceylan,Climates
7.1, Spike Lee,Inside Man
7.1, David Fincher,Zodiac
7.1, Lav Diaz,Kagadanan sa banwaan ning mga engkanto/ Death in the Land of Encantos
7.1, Julian Schnabel,Le Scaphandre et le Papillon/ The Diving Bell and the Butterfly
7.1, Javier Ideami,El Cuadro
7.1, Tony Gilroy,Michael Clayton
7.1, Alexander Sokurov,Alexandra
7.1, Roy Andersson,You the Living
7.1, Luis Piedrahita & Rodrigo Sopena,La Habitacion de Fermat/ Fermat's Room
7.1, Abdullah Oguz,Bliss
7.1, Hayao Miyazaki,Ponyo
7.1, Graham Reznick,I Can See You
7.1, Jonathan Demme,Rachel Getting Married
7.1, Sebastian Doggart,Courting Condi
7.1, Hirokazu Kore-eda,Still Walking
7.1, Andrea Arnold,Fish Tank
7.1, Claudia Llosa,La Teta Asustada/ The Milk Of Sorrow
7.1, Samuel Maoz,Lebanon
7.1, Adam Elliot, Mary & Max
7.1, Giuseppe Capotondi,The Double Hour
7.1, Veiko Ounpuu,The Temptation of St. Tony
7.1, Paul McGuigan,Push
7.1, Shane Acker,9
7.1, Fatih Akin,Soul Kitchen
7.1, Caroline Bottaro,Queen to Play
7.1, Hong Sang-soo,Oki's Movie
7.1, Joanna Hogg,Archipelago
7.1, Mahamat-Saleh Haroun,The Screaming Man
7.1, Darren Aronofsky,Black Swan
7.1, Mike Mills,Beginners
7.1, Abdellatif Kechiche,Venus Noire/ Black Venus
7.1, Alexander Zeidovich,Mishen/ Target
7.1, Bertrand Bonello,L'Apollonide/ House of Pleasures
7.1, Jafar Panahi,This Is Not a Film
7.1, Sion Sono,Koi no Tsumi/ Guilty of Romance
7.1, Christopher Munch,Letters From the Big Man
7.1, Steve McQueen,Shame
7.1, Aki Kaurismaki,Le Havre
7.1, Alexandr Sokurov,Faust
7.1, Christian Petzold,Dreileben
7.1, Jeff Nichols,Take Shelter
7.1, Mike Cahill,Another Earth
7.1, Joachim Trier,Oslo August 31st
7.1, Zack Parker,Scalene
7.1, Lynne Ramsay,We Need to Talk About Kevin
7.1, Benh Zeitlin,Beasts of the Southern Wild
7.1, Don Hertzfeldt,It's Such a Beautiful Day
7.1, Jean-Claude Brisseau,La Fille de Nulle Part/ The Girl from Nowhere
7.1, Ken Loach,The Angel's Share
7.1, Benjamin Dickinson,First Winter
7.1, Richard Foreman,Once Every Day
7.1, Alain Resnais,You Ain't Seen Nothin' Yet
7.1, Wes Anderson,Moonrise Kingdom
7.1, Kleber Mendonca Filho,Neighboring Sounds
7.1, Michel Franco,Despues de Lucia/ After Lucia
7.1, James Ponsoldt,The Spectacular Now
7.1, Rithy Panh,L'Image Manquante
7.1, Justine Triet,Act of Panic
7.1, Fernando Coimbra,A Wolf at the Door
7.1, Joanna Hogg,Exhibition
7.1, Darren-Paul Fisher,Frequencies
7.1, Alain Guiraudie,Stranger by the Lake
7.1, Jonathan Glazer,Under the Skin
7.1, Sam Fleischner,Stand Clear of the Closing Doors
7.1, JC Chandor,All Is Lost
7.1, Asghar Farhadi,Le Passe/ The Past
7.1, Mahamat-Saleh Haroun,Grigris
7.1, Sangsoo Hong,Nobody's Daughter Haewon
7.1, Denis Cote,Vic + Flo Saw a Bear
7.1, Ryan Coogler,Fruitvale
7.1, Amat Escalante,Heli
7.1, Pawel Pawlikowski,Ida
7.1, Sebastian Lelio,Gloria
7.1, James Gray,The Immigrant
7.1, Agnieszka Holland,Burning Bush
7.1, Raj Amit Kumar,Unfreedom
7.1, Jonas Alexander Arnby,When Animals Dream
7.1, Jean-Pierre and Luc Dardenne,Two Days One Night
7.1, Diao Yinan,"Bai Ri Yan Huo/ Black Coal, Thin Ice"
7.1, Olivier Assayas,Clouds of Sils Maria
7.1, David Robert Mitchell,It Follows
7.1, Jennifer Kent,The Babadook
7.1, Andrej Konchalovsky,The Postman's White Nights
7.1, Alex Garland,Ex Machina
7.1, Robert Eggers,The Witch
7.1, Grimur Hakonarson,Hrutar/ Rams  (2015)
7.1, Clement Cogitore, Neither Heaven Nor Earth
7.1, Zhangke Jia,Shan He Gu Ren/ Mountains May Depart  (2015)
7.1, Trey Edward Shults,Krisha
7.1, Lars Kraume,The People vs Fritz Bauer
7.1, Tim Blake Nelson,Anesthesia
7.1, Aleksandr Sokurov,Francofonia
7.1, Sebastian Schipper,Victoria
7.1, Sean Baker,Tangerine
7.1, Guy Maddin,The Forbidden Room
7.1, Adam McKay,The Big Short
7.1, Rick Alverson,Entertainment
7.1, Sion Sono,Riaru Onigokko/ Tag (2015)
7.1, Joao Pedro Rodrigues,The Ornithologist
7.1, Ralitza Petrova,Godless
7.1, Cristian Mungiu,Bacalaureat/ Graduation
7.1, Ala Eddine Slim,The Last of Us
7.1, Eugene Green,Le Fils de Joseph/ The Son of Joseph
7.1, Asghar Farhadi,Forushande/ The Salesman
7.1, Claude Barras,My Life as a Courgette
7.1, Paul Schrader,First Reformed
7.1, Francis Lee,God's Own Country
7.1, Valeska Grisebach,Western
7.1, Luca Guadagnino,Call Me by Your Name
7.1, Francois Ozon,L'Amant Double/ Double Lover
7.1, Xavier Legrand,Jusqu'a la Garde/ Custody
7.1, Sebastian Lelio,A Fantastic Woman
7.1, Robin Campillo,BPM (Beats Per Minute)
7.1, Sang-soo Hong,On the Beach at Night Alone
7.1,  Daniela Thomas,Vazante
7.1, Atsuko Hirayanagi,Oh Lucy
7.1, Xavier Beauvois,Les Gardiennes/ The Guardians
7.1, David Lowery,A Ghost Story
7.1, Steven Soderbergh,Logan Lucky
7.1, Hirokazu Kore-eda,Manbiki Kazoku/ Shoplifters
7.1, Francis Lawrence,Red Sparrow
7.1, Yeo Siew Hua,A Land Imagined
7.1, Ari Aster,Hereditary
7.1, Morgan Neville,Won't You Be My Neighbor?
7.1, Kent Jones,Diane
7.1, Jean-Bernard Marlin,Sheherazade
7.1, Debra Granik,Leave No Trace
7.1, Terry Gilliam,The Man Who Killed Don Quixote
7.1, Nuri Bilge Ceylan,Ahlat Agaci/ The Wild Pear Tree
7.1, Jong-bin Yoon,The Spy Gone North
7.1, Johnny Kevorkian,Await Further Instructions
7.1, Julian Schnabel,At Eternity's Gate
7.1, Panos Cosmatos,Mandy
7.1, Olivier Assayas,Doubles Vies/ Non-fiction
7.1, Alex Garland,Annihilation
